Protein,Gene,Species,Life_stage,Sample,Expression,Orthogroup_4sp
MAM and LDL-receptor class A domain-containing 1,SpisGene12423,Stylophora_pistillata,Larvae,Larva_1,106,OG0011351
MAM and LDL-receptor class A domain-containing 1,SpisGene12423,Stylophora_pistillata,Larvae,Larva_2,36,OG0011351
MAM and LDL-receptor class A domain-containing 1,SpisGene12423,Stylophora_pistillata,Larvae,Larva_3,162,OG0011351
MAM and LDL-receptor class A domain-containing 1,SpisGene12423,Stylophora_pistillata,Metamorphosed,Meta_1,156,OG0011351
MAM and LDL-receptor class A domain-containing 1,SpisGene12423,Stylophora_pistillata,Metamorphosed,Meta_2,208,OG0011351
MAM and LDL-receptor class A domain-containing 1,SpisGene12423,Stylophora_pistillata,Metamorphosed,Meta_3,1022,OG0011351
MAM and LDL-receptor class A domain-containing 1,SpisGene12423,Stylophora_pistillata,Spat,Spat_1,4324,OG0011351
MAM and LDL-receptor class A domain-containing 1,SpisGene12423,Stylophora_pistillata,Spat,Spat_2,6053,OG0011351
MAM and LDL-receptor class A domain-containing 1,SpisGene12423,Stylophora_pistillata,Spat,Spat_3,4332,OG0011351
Kielin-like,aten_0.1.m1.31419.m1,Acropora_tenuis,Larvae,Larva_1,2147,OG0010275
Kielin-like,aten_0.1.m1.31419.m1,Acropora_tenuis,Larvae,Larva_2,2288,OG0010275
Kielin-like,aten_0.1.m1.31419.m1,Acropora_tenuis,Larvae,Larva_3,2247,OG0010275
Kielin-like,aten_0.1.m1.31419.m1,Acropora_tenuis,Metamorphosed,Meta_1,6207,OG0010275
Kielin-like,aten_0.1.m1.31419.m1,Acropora_tenuis,Metamorphosed,Meta_2,3200,OG0010275
Kielin-like,aten_0.1.m1.31419.m1,Acropora_tenuis,Metamorphosed,Meta_3,2656,OG0010275
Kielin-like,aten_0.1.m1.31419.m1,Acropora_tenuis,Spat,Spat_1,4811,OG0010275
Kielin-like,aten_0.1.m1.31419.m1,Acropora_tenuis,Spat,Spat_2,3276,OG0010275
Kielin-like,aten_0.1.m1.31419.m1,Acropora_tenuis,Spat,Spat_3,3529,OG0010275
Kielin-like,aten_0.1.m1.31427.m1,Acropora_tenuis,Larvae,Larva_1,2026,OG0010275
Kielin-like,aten_0.1.m1.31427.m1,Acropora_tenuis,Larvae,Larva_2,2778,OG0010275
Kielin-like,aten_0.1.m1.31427.m1,Acropora_tenuis,Larvae,Larva_3,2182,OG0010275
Kielin-like,aten_0.1.m1.31427.m1,Acropora_tenuis,Metamorphosed,Meta_1,7956,OG0010275
Kielin-like,aten_0.1.m1.31427.m1,Acropora_tenuis,Metamorphosed,Meta_2,8526,OG0010275
Kielin-like,aten_0.1.m1.31427.m1,Acropora_tenuis,Metamorphosed,Meta_3,6832,OG0010275
Kielin-like,aten_0.1.m1.31427.m1,Acropora_tenuis,Spat,Spat_1,7488,OG0010275
Kielin-like,aten_0.1.m1.31427.m1,Acropora_tenuis,Spat,Spat_2,4458,OG0010275
Kielin-like,aten_0.1.m1.31427.m1,Acropora_tenuis,Spat,Spat_3,6433,OG0010275
Kielin-like,Pocillopora_acuta_HIv2___RNAseq.g3780.t1,Pocillopora_acuta,Larvae,Larva_1,252,OG0010275
Kielin-like,Pocillopora_acuta_HIv2___RNAseq.g3780.t1,Pocillopora_acuta,Larvae,Larva_2,473,OG0010275
Kielin-like,Pocillopora_acuta_HIv2___RNAseq.g3780.t1,Pocillopora_acuta,Larvae,Larva_3,514,OG0010275
Kielin-like,Pocillopora_acuta_HIv2___RNAseq.g3780.t1,Pocillopora_acuta,Metamorphosed,Meta_1,1042,OG0010275
Kielin-like,Pocillopora_acuta_HIv2___RNAseq.g3780.t1,Pocillopora_acuta,Metamorphosed,Meta_2,954,OG0010275
Kielin-like,Pocillopora_acuta_HIv2___RNAseq.g3780.t1,Pocillopora_acuta,Metamorphosed,Meta_3,1824,OG0010275
Kielin-like,Pocillopora_acuta_HIv2___RNAseq.g3780.t1,Pocillopora_acuta,Spat,Spat_1,5589,OG0010275
Kielin-like,Pocillopora_acuta_HIv2___RNAseq.g3780.t1,Pocillopora_acuta,Spat,Spat_2,5701,OG0010275
Kielin-like,Pocillopora_acuta_HIv2___RNAseq.g3780.t1,Pocillopora_acuta,Spat,Spat_3,6252,OG0010275
Kielin-like,SpisGene13177,Stylophora_pistillata,Larvae,Larva_1,59,OG0010275
Kielin-like,SpisGene13177,Stylophora_pistillata,Larvae,Larva_2,233,OG0010275
Kielin-like,SpisGene13177,Stylophora_pistillata,Larvae,Larva_3,226,OG0010275
Kielin-like,SpisGene13177,Stylophora_pistillata,Metamorphosed,Meta_1,496,OG0010275
Kielin-like,SpisGene13177,Stylophora_pistillata,Metamorphosed,Meta_2,422,OG0010275
Kielin-like,SpisGene13177,Stylophora_pistillata,Metamorphosed,Meta_3,1685,OG0010275
Kielin-like,SpisGene13177,Stylophora_pistillata,Spat,Spat_1,939,OG0010275
Kielin-like,SpisGene13177,Stylophora_pistillata,Spat,Spat_2,834,OG0010275
Kielin-like,SpisGene13177,Stylophora_pistillata,Spat,Spat_3,805,OG0010275
CARP6,SpisGene18493,Stylophora_pistillata,Larvae,Larva_1,16,OG0017977
CARP6,SpisGene18493,Stylophora_pistillata,Larvae,Larva_2,59,OG0017977
CARP6,SpisGene18493,Stylophora_pistillata,Larvae,Larva_3,26,OG0017977
CARP6,SpisGene18493,Stylophora_pistillata,Metamorphosed,Meta_1,117,OG0017977
CARP6,SpisGene18493,Stylophora_pistillata,Metamorphosed,Meta_2,212,OG0017977
CARP6,SpisGene18493,Stylophora_pistillata,Metamorphosed,Meta_3,14,OG0017977
CARP6,SpisGene18493,Stylophora_pistillata,Spat,Spat_1,3404,OG0017977
CARP6,SpisGene18493,Stylophora_pistillata,Spat,Spat_2,2188,OG0017977
CARP6,SpisGene18493,Stylophora_pistillata,Spat,Spat_3,3309,OG0017977
CARP6,Pocillopora_acuta_HIv2___TS.g5112.t1,Pocillopora_acuta,Larvae,Larva_1,6,OG0017977
CARP6,Pocillopora_acuta_HIv2___TS.g5112.t1,Pocillopora_acuta,Larvae,Larva_2,7,OG0017977
CARP6,Pocillopora_acuta_HIv2___TS.g5112.t1,Pocillopora_acuta,Larvae,Larva_3,0,OG0017977
CARP6,Pocillopora_acuta_HIv2___TS.g5112.t1,Pocillopora_acuta,Metamorphosed,Meta_1,2208,OG0017977
CARP6,Pocillopora_acuta_HIv2___TS.g5112.t1,Pocillopora_acuta,Metamorphosed,Meta_2,2620,OG0017977
CARP6,Pocillopora_acuta_HIv2___TS.g5112.t1,Pocillopora_acuta,Metamorphosed,Meta_3,3166,OG0017977
CARP6,Pocillopora_acuta_HIv2___TS.g5112.t1,Pocillopora_acuta,Spat,Spat_1,3793,OG0017977
CARP6,Pocillopora_acuta_HIv2___TS.g5112.t1,Pocillopora_acuta,Spat,Spat_2,5381,OG0017977
CARP6,Pocillopora_acuta_HIv2___TS.g5112.t1,Pocillopora_acuta,Spat,Spat_3,4394,OG0017977
Protocadherin-1,aten_0.1.m1.1913.m1,Acropora_tenuis,Larvae,Larva_1,4695,OG0009141
Protocadherin-1,aten_0.1.m1.1913.m1,Acropora_tenuis,Larvae,Larva_2,5892,OG0009141
Protocadherin-1,aten_0.1.m1.1913.m1,Acropora_tenuis,Larvae,Larva_3,5281,OG0009141
Protocadherin-1,aten_0.1.m1.1913.m1,Acropora_tenuis,Metamorphosed,Meta_1,3809,OG0009141
Protocadherin-1,aten_0.1.m1.1913.m1,Acropora_tenuis,Metamorphosed,Meta_2,3575,OG0009141
Protocadherin-1,aten_0.1.m1.1913.m1,Acropora_tenuis,Metamorphosed,Meta_3,3410,OG0009141
Protocadherin-1,aten_0.1.m1.1913.m1,Acropora_tenuis,Spat,Spat_1,4568,OG0009141
Protocadherin-1,aten_0.1.m1.1913.m1,Acropora_tenuis,Spat,Spat_2,6443,OG0009141
Protocadherin-1,aten_0.1.m1.1913.m1,Acropora_tenuis,Spat,Spat_3,4232,OG0009141
Protocadherin-1,Pocillopora_acuta_HIv2___RNAseq.g3235.t1,Pocillopora_acuta,Larvae,Larva_1,433,OG0009141
Protocadherin-1,Pocillopora_acuta_HIv2___RNAseq.g3235.t1,Pocillopora_acuta,Larvae,Larva_2,747,OG0009141
Protocadherin-1,Pocillopora_acuta_HIv2___RNAseq.g3235.t1,Pocillopora_acuta,Larvae,Larva_3,713,OG0009141
Protocadherin-1,Pocillopora_acuta_HIv2___RNAseq.g3235.t1,Pocillopora_acuta,Metamorphosed,Meta_1,57,OG0009141
Protocadherin-1,Pocillopora_acuta_HIv2___RNAseq.g3235.t1,Pocillopora_acuta,Metamorphosed,Meta_2,39,OG0009141
Protocadherin-1,Pocillopora_acuta_HIv2___RNAseq.g3235.t1,Pocillopora_acuta,Metamorphosed,Meta_3,0,OG0009141
Protocadherin-1,Pocillopora_acuta_HIv2___RNAseq.g3235.t1,Pocillopora_acuta,Spat,Spat_1,57,OG0009141
Protocadherin-1,Pocillopora_acuta_HIv2___RNAseq.g3235.t1,Pocillopora_acuta,Spat,Spat_2,15,OG0009141
Protocadherin-1,Pocillopora_acuta_HIv2___RNAseq.g3235.t1,Pocillopora_acuta,Spat,Spat_3,51,OG0009141
Protocadherin-1,Montipora_capitata_HIv3___RNAseq.g3382.t1,Montipora_capitata,Larvae,Larva_1,318,OG0009141
Protocadherin-1,Montipora_capitata_HIv3___RNAseq.g3382.t1,Montipora_capitata,Larvae,Larva_2,381,OG0009141
Protocadherin-1,Montipora_capitata_HIv3___RNAseq.g3382.t1,Montipora_capitata,Larvae,Larva_3,424,OG0009141
Protocadherin-1,Montipora_capitata_HIv3___RNAseq.g3382.t1,Montipora_capitata,Metamorphosed,Meta_1,273,OG0009141
Protocadherin-1,Montipora_capitata_HIv3___RNAseq.g3382.t1,Montipora_capitata,Metamorphosed,Meta_2,320,OG0009141
Protocadherin-1,Montipora_capitata_HIv3___RNAseq.g3382.t1,Montipora_capitata,Metamorphosed,Meta_3,442,OG0009141
Protocadherin-1,Montipora_capitata_HIv3___RNAseq.g3382.t1,Montipora_capitata,Spat,Spat_1,14,OG0009141
Protocadherin-1,Montipora_capitata_HIv3___RNAseq.g3382.t1,Montipora_capitata,Spat,Spat_2,67,OG0009141
Protocadherin-1,Montipora_capitata_HIv3___RNAseq.g3382.t1,Montipora_capitata,Spat,Spat_3,71,OG0009141
Protocadherin-1,SpisGene8899,Stylophora_pistillata,Larvae,Larva_1,11,OG0009141
Protocadherin-1,SpisGene8899,Stylophora_pistillata,Larvae,Larva_2,7,OG0009141
Protocadherin-1,SpisGene8899,Stylophora_pistillata,Larvae,Larva_3,14,OG0009141
Protocadherin-1,SpisGene8899,Stylophora_pistillata,Metamorphosed,Meta_1,0,OG0009141
Protocadherin-1,SpisGene8899,Stylophora_pistillata,Metamorphosed,Meta_2,6,OG0009141
Protocadherin-1,SpisGene8899,Stylophora_pistillata,Metamorphosed,Meta_3,18,OG0009141
Protocadherin-1,SpisGene8899,Stylophora_pistillata,Spat,Spat_1,25,OG0009141
Protocadherin-1,SpisGene8899,Stylophora_pistillata,Spat,Spat_2,17,OG0009141
Protocadherin-1,SpisGene8899,Stylophora_pistillata,Spat,Spat_3,19,OG0009141
Protocadherin-2,aten_0.1.m1.31413.m1,Acropora_tenuis,Larvae,Larva_1,1404,OG0012083
Protocadherin-2,aten_0.1.m1.31413.m1,Acropora_tenuis,Larvae,Larva_2,1878,OG0012083
Protocadherin-2,aten_0.1.m1.31413.m1,Acropora_tenuis,Larvae,Larva_3,1749,OG0012083
Protocadherin-2,aten_0.1.m1.31413.m1,Acropora_tenuis,Metamorphosed,Meta_1,1412,OG0012083
Protocadherin-2,aten_0.1.m1.31413.m1,Acropora_tenuis,Metamorphosed,Meta_2,1633,OG0012083
Protocadherin-2,aten_0.1.m1.31413.m1,Acropora_tenuis,Metamorphosed,Meta_3,1328,OG0012083
Protocadherin-2,aten_0.1.m1.31413.m1,Acropora_tenuis,Spat,Spat_1,1714,OG0012083
Protocadherin-2,aten_0.1.m1.31413.m1,Acropora_tenuis,Spat,Spat_2,1661,OG0012083
Protocadherin-2,aten_0.1.m1.31413.m1,Acropora_tenuis,Spat,Spat_3,1514,OG0012083
Protocadherin-2,Montipora_capitata_HIv3___TS.g7503.t2,Montipora_capitata,Larvae,Larva_1,5545,OG0012083
Protocadherin-2,Montipora_capitata_HIv3___TS.g7503.t2,Montipora_capitata,Larvae,Larva_2,6357,OG0012083
Protocadherin-2,Montipora_capitata_HIv3___TS.g7503.t2,Montipora_capitata,Larvae,Larva_3,6051,OG0012083
Protocadherin-2,Montipora_capitata_HIv3___TS.g7503.t2,Montipora_capitata,Metamorphosed,Meta_1,5641,OG0012083
Protocadherin-2,Montipora_capitata_HIv3___TS.g7503.t2,Montipora_capitata,Metamorphosed,Meta_2,5233,OG0012083
Protocadherin-2,Montipora_capitata_HIv3___TS.g7503.t2,Montipora_capitata,Metamorphosed,Meta_3,5954,OG0012083
Protocadherin-2,Montipora_capitata_HIv3___TS.g7503.t2,Montipora_capitata,Spat,Spat_1,3540,OG0012083
Protocadherin-2,Montipora_capitata_HIv3___TS.g7503.t2,Montipora_capitata,Spat,Spat_2,6199,OG0012083
Protocadherin-2,Montipora_capitata_HIv3___TS.g7503.t2,Montipora_capitata,Spat,Spat_3,5591,OG0012083
Protocadherin-2,Pocillopora_acuta_HIv2___RNAseq.g3784.t1,Pocillopora_acuta,Larvae,Larva_1,2113,OG0012083
Protocadherin-2,Pocillopora_acuta_HIv2___RNAseq.g3784.t1,Pocillopora_acuta,Larvae,Larva_2,2914,OG0012083
Protocadherin-2,Pocillopora_acuta_HIv2___RNAseq.g3784.t1,Pocillopora_acuta,Larvae,Larva_3,3807,OG0012083
Protocadherin-2,Pocillopora_acuta_HIv2___RNAseq.g3784.t1,Pocillopora_acuta,Metamorphosed,Meta_1,2174,OG0012083
Protocadherin-2,Pocillopora_acuta_HIv2___RNAseq.g3784.t1,Pocillopora_acuta,Metamorphosed,Meta_2,2189,OG0012083
Protocadherin-2,Pocillopora_acuta_HIv2___RNAseq.g3784.t1,Pocillopora_acuta,Metamorphosed,Meta_3,2654,OG0012083
Protocadherin-2,Pocillopora_acuta_HIv2___RNAseq.g3784.t1,Pocillopora_acuta,Spat,Spat_1,2193,OG0012083
Protocadherin-2,Pocillopora_acuta_HIv2___RNAseq.g3784.t1,Pocillopora_acuta,Spat,Spat_2,2239,OG0012083
Protocadherin-2,Pocillopora_acuta_HIv2___RNAseq.g3784.t1,Pocillopora_acuta,Spat,Spat_3,2345,OG0012083
Protocadherin-2,Stylophora_pistillata,Stylophora_pistillata,Larvae,Larva_1,449,OG0012083
Protocadherin-2,Stylophora_pistillata,Stylophora_pistillata,Larvae,Larva_2,244,OG0012083
Protocadherin-2,Stylophora_pistillata,Stylophora_pistillata,Larvae,Larva_3,452,OG0012083
Protocadherin-2,Stylophora_pistillata,Stylophora_pistillata,Metamorphosed,Meta_1,421,OG0012083
Protocadherin-2,Stylophora_pistillata,Stylophora_pistillata,Metamorphosed,Meta_2,1079,OG0012083
Protocadherin-2,Stylophora_pistillata,Stylophora_pistillata,Metamorphosed,Meta_3,843,OG0012083
Protocadherin-2,Stylophora_pistillata,Stylophora_pistillata,Spat,Spat_1,941,OG0012083
Protocadherin-2,Stylophora_pistillata,Stylophora_pistillata,Spat,Spat_2,1202,OG0012083
Protocadherin-2,Stylophora_pistillata,Stylophora_pistillata,Spat,Spat_3,1126,OG0012083
Protocadherin-3,aten_0.1.m1.16019.m1,Acropora_tenuis,Larvae,Larva_1,162,OG0012570
Protocadherin-3,aten_0.1.m1.16019.m1,Acropora_tenuis,Larvae,Larva_2,237,OG0012570
Protocadherin-3,aten_0.1.m1.16019.m1,Acropora_tenuis,Larvae,Larva_3,253,OG0012570
Protocadherin-3,aten_0.1.m1.16019.m1,Acropora_tenuis,Metamorphosed,Meta_1,196,OG0012570
Protocadherin-3,aten_0.1.m1.16019.m1,Acropora_tenuis,Metamorphosed,Meta_2,285,OG0012570
Protocadherin-3,aten_0.1.m1.16019.m1,Acropora_tenuis,Metamorphosed,Meta_3,261,OG0012570
Protocadherin-3,aten_0.1.m1.16019.m1,Acropora_tenuis,Spat,Spat_1,112,OG0012570
Protocadherin-3,aten_0.1.m1.16019.m1,Acropora_tenuis,Spat,Spat_2,123,OG0012570
Protocadherin-3,aten_0.1.m1.16019.m1,Acropora_tenuis,Spat,Spat_3,104,OG0012570
Protocadherin-3,Montipora_capitata_HIv3___RNAseq.g16463.t1,Montipora_capitata,Larvae,Larva_1,1483,OG0012570
Protocadherin-3,Montipora_capitata_HIv3___RNAseq.g16463.t1,Montipora_capitata,Larvae,Larva_2,1485,OG0012570
Protocadherin-3,Montipora_capitata_HIv3___RNAseq.g16463.t1,Montipora_capitata,Larvae,Larva_3,1577,OG0012570
Protocadherin-3,Montipora_capitata_HIv3___RNAseq.g16463.t1,Montipora_capitata,Metamorphosed,Meta_1,1035,OG0012570
Protocadherin-3,Montipora_capitata_HIv3___RNAseq.g16463.t1,Montipora_capitata,Metamorphosed,Meta_2,1131,OG0012570
Protocadherin-3,Montipora_capitata_HIv3___RNAseq.g16463.t1,Montipora_capitata,Metamorphosed,Meta_3,1277,OG0012570
Protocadherin-3,Montipora_capitata_HIv3___RNAseq.g16463.t1,Montipora_capitata,Spat,Spat_1,818,OG0012570
Protocadherin-3,Montipora_capitata_HIv3___RNAseq.g16463.t1,Montipora_capitata,Spat,Spat_2,1030,OG0012570
Protocadherin-3,Montipora_capitata_HIv3___RNAseq.g16463.t1,Montipora_capitata,Spat,Spat_3,2113,OG0012570
Protocadherin-3,Pocillopora_acuta_HIv2___TS.g23602.t1,Pocillopora_acuta,Larvae,Larva_1,77,OG0012570
Protocadherin-3,Pocillopora_acuta_HIv2___TS.g23602.t1,Pocillopora_acuta,Larvae,Larva_2,138,OG0012570
Protocadherin-3,Pocillopora_acuta_HIv2___TS.g23602.t1,Pocillopora_acuta,Larvae,Larva_3,165,OG0012570
Protocadherin-3,Pocillopora_acuta_HIv2___TS.g23602.t1,Pocillopora_acuta,Metamorphosed,Meta_1,73,OG0012570
Protocadherin-3,Pocillopora_acuta_HIv2___TS.g23602.t1,Pocillopora_acuta,Metamorphosed,Meta_2,40,OG0012570
Protocadherin-3,Pocillopora_acuta_HIv2___TS.g23602.t1,Pocillopora_acuta,Metamorphosed,Meta_3,166,OG0012570
Protocadherin-3,Pocillopora_acuta_HIv2___TS.g23602.t1,Pocillopora_acuta,Spat,Spat_1,630,OG0012570
Protocadherin-3,Pocillopora_acuta_HIv2___TS.g23602.t1,Pocillopora_acuta,Spat,Spat_2,727,OG0012570
Protocadherin-3,Pocillopora_acuta_HIv2___TS.g23602.t1,Pocillopora_acuta,Spat,Spat_3,629,OG0012570
Protocadherin-3,Spis5789.t1,Stylophora_pistillata,Larvae,Larva_1,0,OG0012570
Protocadherin-3,Spis5789.t1,Stylophora_pistillata,Larvae,Larva_2,6,OG0012570
Protocadherin-3,Spis5789.t1,Stylophora_pistillata,Larvae,Larva_3,7,OG0012570
Protocadherin-3,Spis5789.t1,Stylophora_pistillata,Metamorphosed,Meta_1,10,OG0012570
Protocadherin-3,Spis5789.t1,Stylophora_pistillata,Metamorphosed,Meta_2,45,OG0012570
Protocadherin-3,Spis5789.t1,Stylophora_pistillata,Metamorphosed,Meta_3,220,OG0012570
Protocadherin-3,Spis5789.t1,Stylophora_pistillata,Spat,Spat_1,1268,OG0012570
Protocadherin-3,Spis5789.t1,Stylophora_pistillata,Spat,Spat_2,1942,OG0012570
Protocadherin-3,Spis5789.t1,Stylophora_pistillata,Spat,Spat_3,1744,OG0012570
Protocadherin-4,aten_0.1.m1.3471.m1,Acropora_tenuis,Larvae,Larva_1,55,OG0009875
Protocadherin-4,aten_0.1.m1.3471.m1,Acropora_tenuis,Larvae,Larva_2,44,OG0009875
Protocadherin-4,aten_0.1.m1.3471.m1,Acropora_tenuis,Larvae,Larva_3,43,OG0009875
Protocadherin-4,aten_0.1.m1.3471.m1,Acropora_tenuis,Metamorphosed,Meta_1,22,OG0009875
Protocadherin-4,aten_0.1.m1.3471.m1,Acropora_tenuis,Metamorphosed,Meta_2,32,OG0009875
Protocadherin-4,aten_0.1.m1.3471.m1,Acropora_tenuis,Metamorphosed,Meta_3,30,OG0009875
Protocadherin-4,aten_0.1.m1.3471.m1,Acropora_tenuis,Spat,Spat_1,13,OG0009875
Protocadherin-4,aten_0.1.m1.3471.m1,Acropora_tenuis,Spat,Spat_2,21,OG0009875
Protocadherin-4,aten_0.1.m1.3471.m1,Acropora_tenuis,Spat,Spat_3,11,OG0009875
Protocadherin-4,Montipora_capitata_HIv3___RNAseq.36114_t,Montipora_capitata,Larvae,Larva_1,2642,OG0009875
Protocadherin-4,Montipora_capitata_HIv3___RNAseq.36114_t,Montipora_capitata,Larvae,Larva_2,3117,OG0009875
Protocadherin-4,Montipora_capitata_HIv3___RNAseq.36114_t,Montipora_capitata,Larvae,Larva_3,2660,OG0009875
Protocadherin-4,Montipora_capitata_HIv3___RNAseq.36114_t,Montipora_capitata,Metamorphosed,Meta_1,1997,OG0009875
Protocadherin-4,Montipora_capitata_HIv3___RNAseq.36114_t,Montipora_capitata,Metamorphosed,Meta_2,2103,OG0009875
Protocadherin-4,Montipora_capitata_HIv3___RNAseq.36114_t,Montipora_capitata,Metamorphosed,Meta_3,2365,OG0009875
Protocadherin-4,Montipora_capitata_HIv3___RNAseq.36114_t,Montipora_capitata,Spat,Spat_1,339,OG0009875
Protocadherin-4,Montipora_capitata_HIv3___RNAseq.36114_t,Montipora_capitata,Spat,Spat_2,789,OG0009875
Protocadherin-4,Montipora_capitata_HIv3___RNAseq.36114_t,Montipora_capitata,Spat,Spat_3,1485,OG0009875
Protocadherin-4,Pocillopora_acuta_HIv2___TS.g6578.t1,Pocillopora_acuta,Larvae,Larva_1,507,OG0009875
Protocadherin-4,Pocillopora_acuta_HIv2___TS.g6578.t1,Pocillopora_acuta,Larvae,Larva_2,998,OG0009875
Protocadherin-4,Pocillopora_acuta_HIv2___TS.g6578.t1,Pocillopora_acuta,Larvae,Larva_3,742,OG0009875
Protocadherin-4,Pocillopora_acuta_HIv2___TS.g6578.t1,Pocillopora_acuta,Metamorphosed,Meta_1,77,OG0009875
Protocadherin-4,Pocillopora_acuta_HIv2___TS.g6578.t1,Pocillopora_acuta,Metamorphosed,Meta_2,36,OG0009875
Protocadherin-4,Pocillopora_acuta_HIv2___TS.g6578.t1,Pocillopora_acuta,Metamorphosed,Meta_3,30,OG0009875
Protocadherin-4,Pocillopora_acuta_HIv2___TS.g6578.t1,Pocillopora_acuta,Spat,Spat_1,322,OG0009875
Protocadherin-4,Pocillopora_acuta_HIv2___TS.g6578.t1,Pocillopora_acuta,Spat,Spat_2,305,OG0009875
Protocadherin-4,Pocillopora_acuta_HIv2___TS.g6578.t1,Pocillopora_acuta,Spat,Spat_3,313,OG0009875
Protocadherin-4,SpisGene26,Stylophora_pistillata,Larvae,Larva_1,383,OG0009875
Protocadherin-4,SpisGene26,Stylophora_pistillata,Larvae,Larva_2,165,OG0009875
Protocadherin-4,SpisGene26,Stylophora_pistillata,Larvae,Larva_3,375,OG0009875
Protocadherin-4,SpisGene26,Stylophora_pistillata,Metamorphosed,Meta_1,470,OG0009875
Protocadherin-4,SpisGene26,Stylophora_pistillata,Metamorphosed,Meta_2,394,OG0009875
Protocadherin-4,SpisGene26,Stylophora_pistillata,Metamorphosed,Meta_3,513,OG0009875
Protocadherin-4,SpisGene26,Stylophora_pistillata,Spat,Spat_1,649,OG0009875
Protocadherin-4,SpisGene26,Stylophora_pistillata,Spat,Spat_2,588,OG0009875
Protocadherin-4,SpisGene26,Stylophora_pistillata,Spat,Spat_3,531,OG0009875
Protocadherin-5,aten_0.1.m1.27776.m1,Acropora_tenuis,Larvae,Larva_1,1970,OG0005616
Protocadherin-5,aten_0.1.m1.27776.m1,Acropora_tenuis,Larvae,Larva_2,2766,OG0005616
Protocadherin-5,aten_0.1.m1.27776.m1,Acropora_tenuis,Larvae,Larva_3,2079,OG0005616
Protocadherin-5,aten_0.1.m1.27776.m1,Acropora_tenuis,Metamorphosed,Meta_1,1674,OG0005616
Protocadherin-5,aten_0.1.m1.27776.m1,Acropora_tenuis,Metamorphosed,Meta_2,1923,OG0005616
Protocadherin-5,aten_0.1.m1.27776.m1,Acropora_tenuis,Metamorphosed,Meta_3,1477,OG0005616
Protocadherin-5,aten_0.1.m1.27776.m1,Acropora_tenuis,Spat,Spat_1,3677,OG0005616
Protocadherin-5,aten_0.1.m1.27776.m1,Acropora_tenuis,Spat,Spat_2,4180,OG0005616
Protocadherin-5,aten_0.1.m1.27776.m1,Acropora_tenuis,Spat,Spat_3,3450,OG0005616
Protocadherin-5,Montipora_capitata_HIv3___RNAseq.g24455.t1,Montipora_capitata,Larvae,Larva_1,4501,OG0005616
Protocadherin-5,Montipora_capitata_HIv3___RNAseq.g24455.t1,Montipora_capitata,Larvae,Larva_2,4803,OG0005616
Protocadherin-5,Montipora_capitata_HIv3___RNAseq.g24455.t1,Montipora_capitata,Larvae,Larva_3,4498,OG0005616
Protocadherin-5,Montipora_capitata_HIv3___RNAseq.g24455.t1,Montipora_capitata,Metamorphosed,Meta_1,3590,OG0005616
Protocadherin-5,Montipora_capitata_HIv3___RNAseq.g24455.t1,Montipora_capitata,Metamorphosed,Meta_2,3464,OG0005616
Protocadherin-5,Montipora_capitata_HIv3___RNAseq.g24455.t1,Montipora_capitata,Metamorphosed,Meta_3,3938,OG0005616
Protocadherin-5,Montipora_capitata_HIv3___RNAseq.g24455.t1,Montipora_capitata,Spat,Spat_1,1264,OG0005616
Protocadherin-5,Montipora_capitata_HIv3___RNAseq.g24455.t1,Montipora_capitata,Spat,Spat_2,1699,OG0005616
Protocadherin-5,Montipora_capitata_HIv3___RNAseq.g24455.t1,Montipora_capitata,Spat,Spat_3,4404,OG0005616
Protocadherin-5,Pocillopora_acuta_HIv2___RNAseq.g22388.t1,Pocillopora_acuta,Larvae,Larva_1,901,OG0005616
Protocadherin-5,Pocillopora_acuta_HIv2___RNAseq.g22388.t1,Pocillopora_acuta,Larvae,Larva_2,1071,OG0005616
Protocadherin-5,Pocillopora_acuta_HIv2___RNAseq.g22388.t1,Pocillopora_acuta,Larvae,Larva_3,1299,OG0005616
Protocadherin-5,Pocillopora_acuta_HIv2___RNAseq.g22388.t1,Pocillopora_acuta,Metamorphosed,Meta_1,1943,OG0005616
Protocadherin-5,Pocillopora_acuta_HIv2___RNAseq.g22388.t1,Pocillopora_acuta,Metamorphosed,Meta_2,1675,OG0005616
Protocadherin-5,Pocillopora_acuta_HIv2___RNAseq.g22388.t1,Pocillopora_acuta,Metamorphosed,Meta_3,1664,OG0005616
Protocadherin-5,Pocillopora_acuta_HIv2___RNAseq.g22388.t1,Pocillopora_acuta,Spat,Spat_1,1690,OG0005616
Protocadherin-5,Pocillopora_acuta_HIv2___RNAseq.g22388.t1,Pocillopora_acuta,Spat,Spat_2,1823,OG0005616
Protocadherin-5,Pocillopora_acuta_HIv2___RNAseq.g22388.t1,Pocillopora_acuta,Spat,Spat_3,1675,OG0005616
Protocadherin-5,SpisGene14725,Stylophora_pistillata,Larvae,Larva_1,199,OG0005616
Protocadherin-5,SpisGene14725,Stylophora_pistillata,Larvae,Larva_2,223,OG0005616
Protocadherin-5,SpisGene14725,Stylophora_pistillata,Larvae,Larva_3,173,OG0005616
Protocadherin-5,SpisGene14725,Stylophora_pistillata,Metamorphosed,Meta_1,1253,OG0005616
Protocadherin-5,SpisGene14725,Stylophora_pistillata,Metamorphosed,Meta_2,1078,OG0005616
Protocadherin-5,SpisGene14725,Stylophora_pistillata,Metamorphosed,Meta_3,643,OG0005616
