Geneid,Chr,Start,End,Strand,Length,DRR318288,DRR318289,DRR318290,DRR318291,DRR318292,DRR318293,DRR318294,DRR318295,DRR318296,DRR318297,DRR318298,DRR318299
aten_0.1.m1.4776,Sc0000006,1336832,1337734,+,903,0,1,1,6,4,0,6,2,0,0,0,0
aten_0.1.m1.4777,Sc0000006,1328466,1329386,+,921,0,4,1,3,8,0,6,4,0,0,0,0
aten_0.1.m1.4778,Sc0000006,1344287,1345261,+,975,0,1,1,2,2,0,3,0,0,0,0,0
aten_0.1.m1.4779,Sc0000006,1354874,1355848,+,975,35,6,1,11,23,38,18,54,14,20,13,15
aten_0.1.m1.4781,Sc0000006,1428912,1429634,+,723,0,0,0,2,0,0,0,0,0,0,0,0
aten_0.1.m1.4783,Sc0000006,1432382,1436486,+,4105,0,0,3,0,0,0,0,0,0,0,0,0
aten_0.1.m1.4784,Sc0000006,1466138,1475389,+,9252,15,5,12,5,8,12,1,11,4,7,10,6
aten_0.1.m1.4785,Sc0000006,1418198,1425007,+,6810,2,0,6,0,0,4,2,0,1,1,0,0
aten_0.1.m1.4786,Sc0000006,1408001,1409359,+,1359,1,15,0,6,4,4,0,3,9,0,0,2
aten_0.1.m1.4787,Sc0000006,1443945,1462382,+,18438,7,3,9,7,8,5,8,7,12,13,10,5
aten_0.1.m1.4788,Sc0000006,1389428,1389880,+,453,0,0,0,0,0,0,0,0,0,0,0,0
aten_0.1.m1.4789,Sc0000006,1405031,1407749,-,2719,113,208,111,69,10,27,40,15,76,47,58,51
aten_0.1.m1.4791,Sc0000006,1477433,1478573,-,1141,0,0,0,0,0,0,0,0,0,0,0,0
aten_0.1.m1.4792,Sc0000006,1359095,1396461,-,37367,3957,3867,5431,2205,1146,2782,2319,2166,1334,1490,3595,1018
aten_0.1.m1.4793,Sc0000006,1397215,1400183,-,2969,398,272,186,304,54,109,123,97,183,262,230,122
aten_0.1.m1.4794,Sc0000006,1408880,1410413,-,1534,29,67,52,192,62,54,38,51,113,176,42,80
aten_0.1.m1.4795,Sc0000006,1519509,1525042,+,5534,0,3,0,16,10,4,2,1,0,0,1,0
aten_0.1.m1.4796,Sc0000006,1492621,1502571,+,9951,4,6,2,18,14,14,5,10,12,1,21,6
aten_0.1.m1.4797,Sc0000006,1482986,1489022,+,6037,4,10,7,0,4,7,0,4,11,10,5,9
aten_0.1.m1.4798,Sc0000006,1526229,1526771,+,543,0,0,0,0,0,0,0,0,0,0,0,0
aten_0.1.m1.4800,Sc0000006,1526415,1529337,-,2923,0,0,0,2,1,0,2,0,2,0,4,0
aten_0.1.m1.4802,Sc0000006,1585324,1585780,+,457,0,0,0,0,0,0,0,0,0,0,0,0
aten_0.1.m1.4803,Sc0000006,1614565,1617113,+,2549,4,0,8,0,0,0,0,0,0,0,2,0
aten_0.1.m1.4804,Sc0000006,1627655,1638099,+,10445,3,4,4,7,5,6,3,1,7,8,0,5
aten_0.1.m1.4805,Sc0000006,1560675,1583540,-,22866,15,17,14,293,8,16,18,9,7,260,3,8
aten_0.1.m1.4806,Sc0000006,1540560,1544022,-,3463,501,848,638,1115,602,475,672,403,615,1236,396,648
aten_0.1.m1.4807,Sc0000006,1594398,1602623,-,8226,6,0,437,2,0,8,0,6,0,0,2,0
aten_0.1.m1.4808,Sc0000006,1653493,1656456,-,2964,4,8,9,4,1,0,8,11,1,4,9,7
aten_0.1.m1.4809,Sc0000006,1558582,1558932,-,351,0,0,0,0,0,0,0,0,0,0,0,0
aten_0.1.m1.4811,Sc0000006,1585333,1587972,-,2640,0,1,1,2,0,0,0,4,0,0,0,0
aten_0.1.m1.4812,Sc0000006,1664657,1666123,+,1467,0,0,0,13,0,0,1,0,0,1,0,0
aten_0.1.m1.4813,Sc0000006,1685845,1693803,+,7959,2,8,6,4,1,4,5,0,6,3,0,1
aten_0.1.m1.4814,Sc0000006,1641562,1646219,+,4658,6,5,9,7,0,1,2,1,4,4,17,4
aten_0.1.m1.4815,Sc0000006,1666386,1667012,+,627,0,0,0,0,0,0,0,0,0,0,0,0
aten_0.1.m1.4817,Sc0000006,1749962,1751625,-,1664,459,438,536,433,307,305,311,341,481,359,640,371
aten_0.1.m1.4818,Sc0000006,1760538,1762024,-,1487,473,440,478,418,682,524,775,400,382,298,423,293
aten_0.1.m1.4819,Sc0000006,1697699,1711913,-,14215,359,320,444,157,114,59,304,186,93,58,146,94
aten_0.1.m1.4820,Sc0000006,1737633,1745795,-,8163,105506,121893,110926,94370,89192,98687,99333,80906,94543,92580,99623,86244
aten_0.1.m1.4821,Sc0000006,1765920,1775729,-,9810,6,4,10,6,5,15,10,12,21,6,1,8
aten_0.1.m1.4822,Sc0000006,1726023,1737228,-,11206,639,836,629,398,219,230,582,502,175,46,225,144
aten_0.1.m1.4823,Sc0000006,1696571,1697234,-,664,0,2,1,3,1,0,0,1,2,1,2,2
aten_0.1.m1.4824,Sc0000006,1714025,1719086,+,5062,2,0,1,1,0,1,0,2,4,1,2,1
aten_0.1.m1.4825,Sc0000006,1719655,1722612,+,2958,0,2,4,0,0,0,0,0,1,0,0,3
aten_0.1.m1.4826,Sc0000006,1868136,1873307,+,5172,2894,2546,4051,3532,5590,3833,4289,3170,2149,2623,2795,1483
aten_0.1.m1.4827,Sc0000006,1803201,1815732,+,12532,7929,10099,10327,11196,9681,8976,11449,8806,9723,10039,11264,9246
aten_0.1.m1.4828,Sc0000006,1791313,1802392,+,11080,1165,1307,1353,1009,959,1016,837,626,1620,1018,1173,1220
aten_0.1.m1.4829,Sc0000006,1776451,1788920,+,12470,596,798,614,800,516,480,588,448,799,525,792,604
aten_0.1.m1.4830,Sc0000006,1820044,1850824,+,30781,2547,2756,3512,2762,1903,2130,1990,1847,3538,3245,2742,2374
aten_0.1.m1.4831,Sc0000006,1856408,1858138,-,1731,0,1,2,4,4,4,1,0,4,2,1,0
aten_0.1.m1.4834,Sc0000006,1787205,1791277,-,4073,70,87,56,55,127,129,89,104,108,90,134,70
aten_0.1.m1.4835,Sc0000006,1877450,1883462,-,6013,6,2,8,1,4,5,2,2,3,1,6,6
aten_0.1.m1.4836,Sc0000006,1826398,1827361,-,964,0,0,0,0,0,0,0,0,0,0,0,0
aten_0.1.m1.4837,Sc0000006,1927463,1928628,+,1166,313,364,236,236,71,78,95,52,239,147,217,136
aten_0.1.m1.4838,Sc0000006,1939491,1954493,+,15003,1252,1963,1581,2470,3677,2696,2898,2322,2805,2271,1478,2625
aten_0.1.m1.4839,Sc0000006,1918210,1923431,+,5222,142,176,209,127,22,57,80,36,121,177,136,87
aten_0.1.m1.4841,Sc0000006,1976007,1978314,+,2308,23,34,13,16,16,25,30,21,49,25,17,15
aten_0.1.m1.4842,Sc0000006,1961247,1967885,+,6639,270,295,232,193,415,562,275,369,468,450,237,385
aten_0.1.m1.4843,Sc0000006,1921314,1923701,-,2388,3,5,9,6,2,2,3,4,1,6,6,2
aten_0.1.m1.4844,Sc0000006,1898653,1915783,-,17131,281,516,551,380,110,93,166,160,90,75,65,31
aten_0.1.m1.4845,Sc0000006,2041645,2051507,+,9863,3194,3407,3436,3451,2530,2643,2576,2056,4454,3162,5036,3222
aten_0.1.m1.4846,Sc0000006,2004558,2009456,+,4899,1659,1762,1841,2183,1030,1300,1103,1100,1773,1718,1396,1274
aten_0.1.m1.4847,Sc0000006,2024375,2025043,+,669,0,7,4,0,4,1,0,6,4,2,0,10
aten_0.1.m1.4848,Sc0000006,2025857,2032051,+,6195,16,63,2,67,61,37,53,34,84,68,30,106
aten_0.1.m1.4849,Sc0000006,2010208,2014440,-,4233,432,626,393,414,431,340,335,342,97,116,75,70
aten_0.1.m1.4850,Sc0000006,2075547,2081182,-,5636,0,3,8,35,8,9,14,17,10,9,2,6
aten_0.1.m1.4851,Sc0000006,2058648,2065606,-,6959,4,2,6,4,0,2,2,3,1,1,1,4
aten_0.1.m1.4852,Sc0000006,2066640,2067347,-,708,0,0,0,0,0,0,0,0,0,0,0,0
aten_0.1.m1.4853,Sc0000006,2031270,2041586,-,10317,327,320,303,309,97,186,179,163,172,295,452,198
aten_0.1.m1.4854,Sc0000006,1991066,2004409,-,13344,2325,2638,2686,2924,1582,2052,1911,1559,1927,2116,1756,1107
aten_0.1.m1.4855,Sc0000006,1978656,1989129,-,10474,656,691,677,566,412,538,522,458,598,613,479,443
aten_0.1.m1.4856,Sc0000006,1969486,1974183,-,4698,182,194,194,214,99,70,93,92,108,119,157,84
aten_0.1.m1.4858,Sc0000006,2088902,2096365,-,7464,0,0,10,0,0,0,0,0,0,0,1,1
aten_0.1.m1.4859,Sc0000006,2162747,2177858,-,15112,7,0,1,2,0,1,0,1,0,1,0,0
aten_0.1.m1.4860,Sc0000006,2102221,2109322,-,7102,6,13,10,13,10,4,7,6,12,11,13,10
aten_0.1.m1.4861,Sc0000006,2136123,2155886,-,19764,19,27,17,41,23,10,6,15,24,12,19,26
aten_0.1.m1.4862,Sc0000006,2110727,2125683,-,14957,6,15,11,7,1,0,14,4,2,2,8,6
aten_0.1.m1.4863,Sc0000006,2202749,2203131,+,383,0,0,0,0,0,0,0,0,0,0,0,0
aten_0.1.m1.4865,Sc0000006,2260121,2262976,+,2856,0,0,0,0,0,0,1,0,0,0,0,1
aten_0.1.m1.4866,Sc0000006,2218133,2225731,-,7599,31,49,38,95,9,2,12,19,14,36,33,36
aten_0.1.m1.4867,Sc0000006,2248069,2255615,-,7547,9,5,17,4,9,5,14,10,5,20,33,4
aten_0.1.m1.4868,Sc0000006,2233086,2237912,-,4827,0,10,5,2,6,1,6,4,2,3,5,20
aten_0.1.m1.4869,Sc0000006,2197028,2201371,-,4344,4,4,0,6,13,3,5,6,4,10,3,6
aten_0.1.m1.4871,Sc0000006,2194774,2195097,-,324,6,1,0,4,0,4,0,0,0,8,0,0
aten_0.1.m1.4872,Sc0000006,2206093,2216742,-,10650,2,0,29,0,0,2,1,10,0,56,4,0
aten_0.1.m1.4873,Sc0000006,2305039,2306430,+,1392,0,0,0,0,0,0,1,0,0,1,0,0
aten_0.1.m1.4874,Sc0000006,2280270,2289734,+,9465,7,8,0,1,4,2,1,9,1,1,3,0
aten_0.1.m1.4875,Sc0000006,2299788,2303040,+,3253,1,0,2,0,0,0,0,0,4,0,2,1
aten_0.1.m1.4876,Sc0000006,2335941,2344962,+,9022,1,2,0,0,0,0,1,4,2,2,0,0
aten_0.1.m1.4877,Sc0000006,2313008,2318492,+,5485,3,0,0,0,0,0,0,0,0,1,0,0
aten_0.1.m1.4878,Sc0000006,2323736,2330794,+,7059,8,12,13,4,0,0,11,0,0,4,15,0
aten_0.1.m1.4881,Sc0000006,2356187,2366853,-,10667,346,175,280,123,52,265,155,134,64,79,143,66
aten_0.1.m1.4883,Sc0000006,2330776,2333635,-,2860,0,0,0,1,0,0,0,0,0,0,0,0
aten_0.1.m1.4884,Sc0000006,2336262,2341132,-,4871,0,0,0,0,0,0,0,0,0,0,0,0
aten_0.1.m1.4885,Sc0000006,2458207,2463116,+,4910,2,0,9,6,14,15,0,20,19,10,0,5
aten_0.1.m1.4886,Sc0000006,2410099,2415320,+,5222,53,62,194,22,123,72,84,55,2,30,10,21
aten_0.1.m1.4887,Sc0000006,2425866,2455037,+,29172,186,294,296,431,270,179,209,180,96,56,68,97
aten_0.1.m1.4888,Sc0000006,2476758,2486064,+,9307,50,153,426,291,80,26,39,57,36,27,10,21
aten_0.1.m1.4889,Sc0000006,2390522,2392267,+,1746,2,6,4,1,6,0,5,2,0,1,0,2
aten_0.1.m1.4891,Sc0000006,2386262,2390497,+,4236,2,1,0,0,1,1,0,0,0,0,0,0
aten_0.1.m1.4893,Sc0000006,2482710,2486214,-,3505,0,0,0,0,0,0,0,0,0,0,0,0
aten_0.1.m1.4895,Sc0000006,2537898,2575375,-,37478,655,671,549,490,680,605,677,591,207,107,202,190
aten_0.1.m1.4896,Sc0000006,2577039,2587733,-,10695,175,174,146,108,174,209,150,196,17,36,99,42
aten_0.1.m1.4899,Sc0000006,2626955,2632444,+,5490,27,44,34,22,29,16,41,24,42,42,24,26
aten_0.1.m1.4900,Sc0000006,2619624,2624606,+,4983,22,19,21,20,28,24,17,38,19,35,16,12
aten_0.1.m1.4901,Sc0000006,2598725,2599351,+,627,0,0,0,0,0,0,0,0,0,0,0,0
aten_0.1.m1.4902,Sc0000006,2662321,2665032,-,2712,389,398,351,468,258,148,381,118,134,112,204,148
aten_0.1.m1.4903,Sc0000006,2631303,2660086,-,28784,225,413,349,571,286,234,355,233,189,155,120,147
aten_0.1.m1.4904,Sc0000006,2593232,2612046,-,18815,2095,2330,2251,1743,1529,1569,2132,1395,3192,3496,4328,3071
aten_0.1.m1.4905,Sc0000006,2730583,2743989,+,13407,184,158,253,244,80,126,103,85,72,90,68,30
aten_0.1.m1.4906,Sc0000006,2721236,2721463,+,228,2,0,2,0,0,2,0,1,0,0,0,0
aten_0.1.m1.4907,Sc0000006,2683840,2717845,-,34006,3094,3849,4564,3777,3988,3510,3989,3037,6178,6323,7470,5786
aten_0.1.m1.4908,Sc0000006,2724583,2727025,-,2443,0,0,1,6,0,0,1,1,0,5,2,0
aten_0.1.m1.4909,Sc0000006,2779912,2780681,-,770,0,0,0,0,0,0,0,0,0,0,0,0
aten_0.1.m1.4910,Sc0000006,2842374,2853984,+,11611,2551,2459,3672,3119,1693,1466,2052,1498,3258,4400,5597,4551
aten_0.1.m1.4911,Sc0000006,2802400,2811093,+,8694,13,0,7,3,12,12,10,12,10,7,22,17
aten_0.1.m1.4912,Sc0000006,2757581,2770008,+,12428,289,188,124,251,60,109,83,103,62,160,178,64
aten_0.1.m1.4913,Sc0000006,2771654,2776483,+,4830,17,21,7,24,1,16,19,6,12,5,16,8
aten_0.1.m1.4914,Sc0000006,2866388,2874690,+,8303,1527,1820,1977,1822,1225,1174,1308,926,1942,1816,2209,1929
aten_0.1.m1.4915,Sc0000006,2752550,2754352,+,1803,1,2,8,1,1,0,0,1,0,3,1,1
aten_0.1.m1.4916,Sc0000006,2784009,2791103,+,7095,11,0,0,26,0,14,0,2,2,1,16,1
aten_0.1.m1.4917,Sc0000006,2825846,2826718,+,873,42,57,55,50,8,25,22,26,33,51,63,46
aten_0.1.m1.4918,Sc0000006,2822807,2823421,+,615,234,279,231,417,39,52,38,35,41,66,85,42
aten_0.1.m1.4920,Sc0000006,2814209,2820467,-,6259,823,1184,1033,710,503,666,788,466,780,566,644,601
aten_0.1.m1.4921,Sc0000006,2853903,2866073,-,12171,1880,2245,2083,2329,1534,1658,1693,1378,5702,5279,6447,5627
aten_0.1.m1.4922,Sc0000006,2827652,2835063,-,7412,206,269,218,228,99,51,143,45,449,297,621,498
aten_0.1.m1.4923,Sc0000006,2795146,2797539,-,2394,61,56,8,83,6,4,6,6,0,4,0,5
aten_0.1.m1.4925,Sc0000006,2983502,2986142,-,2641,7,0,0,2,0,6,0,9,9,1,13,16
aten_0.1.m1.4926,Sc0000006,2878431,2941249,-,62819,2549,3754,3441,2852,2062,1985,2948,1691,4143,3796,4727,3508
aten_0.1.m1.4927,Sc0000006,2949532,2972286,-,22755,5622,8058,6909,7840,7183,5782,7116,4360,8713,10214,7658,7814
aten_0.1.m1.4928,Sc0000006,3032673,3046051,+,13379,7,17,2,9,15,4,9,36,62,15,19,32
aten_0.1.m1.4929,Sc0000006,3001680,3022180,+,20501,31,34,30,46,22,33,26,9,29,25,22,27
aten_0.1.m1.4931,Sc0000006,3070267,3083673,+,13407,8,1,4,3,4,12,7,9,4,7,6,6
aten_0.1.m1.4932,Sc0000006,3054052,3064452,+,10401,4,9,7,10,2,0,5,0,3,4,2,0
aten_0.1.m1.4933,Sc0000006,3085172,3086917,-,1746,0,0,0,0,1,0,0,0,1,0,0,0
aten_0.1.m1.4935,Sc0000006,3124773,3159712,+,34940,4693,5883,6695,6027,4672,4861,5189,3949,7122,6514,6611,5582
aten_0.1.m1.4937,Sc0000006,3106490,3124662,-,18173,2186,2276,1716,2565,1766,1869,2113,1578,1590,723,1786,1210
aten_0.1.m1.4938,Sc0000006,3165209,3180296,-,15088,583,880,963,974,747,613,846,527,5603,3161,6010,5621
aten_0.1.m1.4940,Sc0000006,3207118,3216785,+,9668,2,33,6,6,3,19,5,14,34,5,17,4
aten_0.1.m1.4941,Sc0000006,3229564,3236606,+,7043,404,431,351,804,196,170,339,174,381,419,324,268
aten_0.1.m1.4945,Sc0000006,3257611,3262715,-,5105,0,0,0,2,0,0,0,0,0,0,0,0
aten_0.1.m1.4946,Sc0000006,3252081,3252767,-,687,10,8,6,15,2,10,16,0,0,2,0,2
aten_0.1.m1.4947,Sc0000006,3334006,3341124,+,7119,302,196,153,131,122,60,86,84,192,151,261,65
aten_0.1.m1.4948,Sc0000006,3365339,3370606,+,5268,5594,5006,6742,4630,2800,3396,2877,3110,3284,4150,3703,2516
aten_0.1.m1.4949,Sc0000006,3345388,3349834,+,4447,180,197,140,255,19,33,53,29,46,74,26,49
aten_0.1.m1.4950,Sc0000006,3317818,3331262,+,13445,86,75,31,42,44,81,64,90,128,90,143,60
aten_0.1.m1.4951,Sc0000006,3259689,3273226,+,13538,1,11,8,26,7,3,8,9,3,4,11,1
aten_0.1.m1.4952,Sc0000006,3284416,3290745,+,6330,23,8,29,1,0,0,7,2,1,2,5,1
aten_0.1.m1.4955,Sc0000006,3359860,3362199,-,2340,770,701,775,557,368,483,415,341,183,211,354,183
aten_0.1.m1.4956,Sc0000006,3355961,3357427,-,1467,2668,5763,2913,5149,2007,1474,3017,1344,6485,4231,3996,4611
aten_0.1.m1.4957,Sc0000006,3350489,3351235,-,747,134,157,193,114,53,38,89,68,58,38,60,73
aten_0.1.m1.4959,Sc0000006,3282287,3282770,-,484,0,0,0,0,0,0,0,0,0,0,0,0
aten_0.1.m1.4961,Sc0000006,3372511,3396647,+,24137,1234,1336,1371,1085,859,882,1057,811,1013,918,1163,777
aten_0.1.m1.4962,Sc0000006,3397415,3402384,+,4970,5,17,8,19,6,13,12,0,2,8,1,6
aten_0.1.m1.4963,Sc0000006,3422995,3426157,+,3163,1,4,5,3,0,0,0,0,4,3,4,3
aten_0.1.m1.4964,Sc0000006,3476859,3482282,-,5424,35,97,6,116,61,15,65,28,66,0,6,45
aten_0.1.m1.4965,Sc0000006,3445924,3449073,-,3150,5,117,0,59,32,2,48,0,0,0,3,6
aten_0.1.m1.4966,Sc0000006,3445455,3445820,-,366,1,18,0,16,10,5,9,3,9,0,1,5
aten_0.1.m1.4967,Sc0000006,3462363,3464800,-,2438,36,24,22,18,6,19,13,3,2,0,18,8
aten_0.1.m1.4968,Sc0000006,3435118,3435690,+,573,7,10,14,0,3,1,12,2,6,3,11,2
aten_0.1.m1.4976,Sc0000006,3491986,3508447,-,16462,1166,1098,1446,1332,2857,3487,3676,3803,1377,1548,2157,1033
aten_0.1.m1.4979,Sc0000006,3598523,3599761,+,1239,0,0,0,0,0,0,0,0,0,0,0,0
aten_0.1.m1.4980,Sc0000006,3589802,3594810,+,5009,1,0,6,0,2,1,1,0,6,6,0,3
aten_0.1.m1.4982,Sc0000006,3598602,3602575,-,3974,19,3,4,17,7,6,4,1,6,9,3,8
aten_0.1.m1.4984,Sc0000006,3615598,3618226,+,2629,14,33,46,45,3,0,9,3,8,12,5,20
aten_0.1.m1.4986,Sc0000006,3673804,3674385,-,582,0,0,0,0,0,0,0,0,1,14,1,0
aten_0.1.m1.4987,Sc0000006,3738673,3741705,+,3033,877,842,1080,827,146,167,322,98,394,414,771,302
aten_0.1.m1.4988,Sc0000006,3710148,3711830,+,1683,0,0,0,0,0,0,0,0,0,0,0,0
aten_0.1.m1.4989,Sc0000006,3748712,3753525,+,4814,79,70,78,219,47,153,77,31,56,104,132,75
aten_0.1.m1.4990,Sc0000006,3743783,3748283,+,4501,57,69,44,125,64,91,32,59,75,118,41,67
aten_0.1.m1.4991,Sc0000006,3693886,3699241,+,5356,20,24,24,8,36,25,14,19,54,73,15,65
aten_0.1.m1.4994,Sc0000006,3700180,3726203,-,26024,2235,2879,3188,2352,1881,1790,2084,1599,3133,3110,2976,3103
aten_0.1.m1.4995,Sc0000006,3728004,3737490,-,9487,2692,3136,3947,3340,8649,8634,7463,5739,6267,6706,7221,6056
aten_0.1.m1.4997,Sc0000006,3842284,3866332,+,24049,523,530,293,611,158,390,299,214,400,408,496,266
aten_0.1.m1.4998,Sc0000006,3836031,3841769,+,5739,20,28,23,44,18,42,29,21,18,13,10,16
aten_0.1.m1.5001,Sc0000006,3755225,3790596,-,35372,1661,1485,896,1919,804,1424,1203,996,866,1030,1300,621
aten_0.1.m1.5002,Sc0000006,3798944,3806324,-,7381,176,279,200,320,115,352,296,49,176,174,200,121
aten_0.1.m1.5003,Sc0000006,3809097,3827455,-,18359,448,338,170,419,154,428,291,190,197,237,219,155
aten_0.1.m1.5004,Sc0000006,3828669,3834989,-,6321,62,70,38,121,3,78,41,8,55,20,13,25
aten_0.1.m1.5006,Sc0000006,3792895,3797763,-,4869,42,45,18,41,18,16,17,20,25,40,22,23
aten_0.1.m1.5008,Sc0000006,3889630,3895664,+,6035,6,9,21,27,12,8,2,9,6,10,4,3
aten_0.1.m1.5009,Sc0000006,3941532,3948027,+,6496,17,1,0,8,4,5,0,0,3,0,0,5
aten_0.1.m1.5010,Sc0000006,3924429,3927781,+,3353,0,0,0,0,0,0,0,0,0,0,0,0
aten_0.1.m1.5011,Sc0000006,3951824,3956076,+,4253,21,5,23,9,20,2,13,6,11,3,4,4
aten_0.1.m1.5012,Sc0000006,3951072,3951539,+,468,0,0,0,0,0,0,0,0,0,0,0,0
aten_0.1.m1.5014,Sc0000006,3923060,3929199,-,6140,122,115,209,128,98,68,65,99,111,206,86,40
aten_0.1.m1.5015,Sc0000006,4041565,4048430,+,6866,188,117,104,38,27,59,406,103,28,19,33,27
aten_0.1.m1.5016,Sc0000006,4034569,4037914,+,3346,131,72,52,0,1,0,191,0,0,1,2,1
aten_0.1.m1.5017,Sc0000006,4038487,4039603,+,1117,107,66,26,0,1,0,51,0,0,0,3,0
aten_0.1.m1.5018,Sc0000006,3971059,3977691,+,6633,26,7,18,20,9,10,18,19,4,1,26,8
aten_0.1.m1.5019,Sc0000006,4012694,4017504,+,4811,18,0,1,9,9,15,0,17,8,13,12,14
aten_0.1.m1.5020,Sc0000006,4022057,4029433,+,7377,46,336,513,272,339,164,329,71,301,138,64,289
aten_0.1.m1.5021,Sc0000006,3980344,3991992,+,11649,17,9,9,12,6,10,6,22,12,3,24,25
aten_0.1.m1.5022,Sc0000006,3996670,4011648,+,14979,290,176,167,134,178,440,154,406,298,204,286,323
aten_0.1.m1.5023,Sc0000006,4021520,4022037,+,518,0,0,2,1,0,2,2,0,1,0,0,3
aten_0.1.m1.5024,Sc0000006,4054485,4071229,-,16745,4725,2523,4841,4266,6849,3623,3422,4686,4457,8037,4640,4229
aten_0.1.m1.5026,Sc0000006,4150460,4163934,-,13475,530,496,573,808,345,331,283,336,658,795,610,373
aten_0.1.m1.5027,Sc0000006,4076054,4079911,-,3858,81,78,52,73,27,22,64,28,53,64,65,51
aten_0.1.m1.5028,Sc0000006,4131775,4143701,-,11927,382,93,263,469,109,200,38,195,233,528,336,164
aten_0.1.m1.5029,Sc0000006,4080669,4091570,-,10902,761,609,351,957,316,548,160,386,616,800,533,444
aten_0.1.m1.5030,Sc0000006,4097821,4114978,-,17158,157,125,219,211,133,140,77,187,100,106,104,93
aten_0.1.m1.5032,Sc0000006,4233218,4247467,-,14250,877,1216,1211,1051,373,425,485,338,648,489,769,446
aten_0.1.m1.5033,Sc0000006,4223755,4231012,-,7258,305,530,421,462,460,430,314,393,811,926,419,694
aten_0.1.m1.5034,Sc0000006,4169193,4186149,-,16957,1553,1896,317,3114,1805,1953,1277,1535,2228,1313,1734,1823
aten_0.1.m1.5035,Sc0000006,4266978,4280542,-,13565,334,445,453,306,152,159,171,125,384,339,423,285
aten_0.1.m1.5036,Sc0000006,4250836,4263993,-,13158,378,430,527,694,281,446,308,339,624,492,837,542
aten_0.1.m1.5037,Sc0000006,4199400,4208787,-,9388,29,38,10,40,47,40,25,30,27,40,33,18
aten_0.1.m1.5038,Sc0000006,4281886,4286830,-,4945,1452,1602,1288,1459,864,1286,1051,1016,1158,1261,1711,923
aten_0.1.m1.5039,Sc0000006,4212663,4222618,-,9956,27,45,44,172,78,110,37,123,139,281,45,107
aten_0.1.m1.5040,Sc0000006,4348426,4367653,+,19228,1504,2083,2210,1595,963,1013,1810,794,1296,985,908,781
aten_0.1.m1.5041,Sc0000006,4323318,4335604,+,12287,252,256,237,174,135,107,62,114,151,120,99,96
aten_0.1.m1.5042,Sc0000006,4347706,4349043,-,1338,98,170,252,225,34,19,59,9,45,50,15,17
aten_0.1.m1.5043,Sc0000006,4373322,4374780,-,1459,7,32,11,0,0,0,8,0,0,2,30,2
aten_0.1.m1.5044,Sc0000006,4336584,4342058,-,5475,332,413,466,384,164,152,153,143,276,351,281,217
aten_0.1.m1.5045,Sc0000006,4315914,4323165,-,7252,38,62,51,44,23,32,34,24,35,33,15,26
aten_0.1.m1.5046,Sc0000006,4288180,4312464,-,24285,1484,1560,1580,1430,714,995,1045,936,1472,1307,1954,1158
aten_0.1.m1.5047,Sc0000006,4375243,4388364,-,13122,23,24,42,1,1,0,32,0,5,4,67,4
aten_0.1.m1.5048,Sc0000006,4437872,4438291,-,420,7,10,9,6,6,7,2,5,8,11,4,2
aten_0.1.m1.5049,Sc0000006,4447442,4454697,-,7256,248,221,220,507,159,174,161,171,233,330,311,173
aten_0.1.m1.5050,Sc0000006,4467069,4475114,-,8046,110,123,225,173,68,100,48,72,46,66,54,13
aten_0.1.m1.5051,Sc0000006,4403210,4404851,-,1642,0,1,0,0,0,0,2,0,0,0,0,0
aten_0.1.m1.5052,Sc0000006,4458456,4466731,-,8276,268,261,378,245,160,240,109,234,110,100,72,80
aten_0.1.m1.5053,Sc0000006,4405311,4414113,-,8803,0,2,1,2,0,0,1,0,0,0,7,0
aten_0.1.m1.5054,Sc0000006,4486666,4505392,+,18727,1624,936,1318,1513,545,647,557,529,149,84,366,93
aten_0.1.m1.5055,Sc0000006,4542312,4560807,+,18496,8,6,77,35,1,15,4,15,3,24,17,5
aten_0.1.m1.5056,Sc0000006,4507116,4529522,+,22407,75,68,134,131,59,67,56,54,100,99,92,42
aten_0.1.m1.5058,Sc0000006,4530672,4538315,+,7644,103,53,97,63,39,67,63,46,104,151,257,98
aten_0.1.m1.5059,Sc0000006,4579331,4596458,+,17128,46,12,144,116,9,42,23,43,6,92,62,14
aten_0.1.m1.5060,Sc0000006,4605807,4615608,+,9802,9,5,43,21,2,10,4,6,0,25,7,0
aten_0.1.m1.5061,Sc0000006,4632421,4656702,+,24282,164,22,123,173,8,141,11,234,7,257,203,8
aten_0.1.m1.5062,Sc0000006,4625059,4627673,+,2615,72,12,8,25,4,15,4,35,3,57,62,21
aten_0.1.m1.5063,Sc0000006,4599665,4601565,+,1901,24,0,3,44,3,39,0,28,1,69,50,3
aten_0.1.m1.5065,Sc0000006,4697493,4703353,+,5861,44,89,79,2,1,2,54,4,0,5,37,0
aten_0.1.m1.5066,Sc0000006,4713582,4723057,+,9476,3187,3609,3328,2948,2317,2475,2938,2290,6601,8001,7789,5653
aten_0.1.m1.5067,Sc0000006,4670072,4691051,+,20980,130,11,44,32,8,72,12,82,7,26,102,7
aten_0.1.m1.5068,Sc0000006,4708127,4711088,+,2962,36,11,17,7,2,8,6,13,0,12,10,0
aten_0.1.m1.5069,Sc0000006,4658546,4665860,+,7315,18,19,18,14,15,7,1,10,43,35,55,25
aten_0.1.m1.5070,Sc0000006,4723923,4724528,-,606,351,365,586,455,2570,2382,2323,1313,1153,1217,1071,1225
